,Adjektiv,P(han),P(hun),Differanse
303,omtenksom,0.0027823790442198515,0.7971091270446777,-0.7943267480004579
304,ondskapsfull,0.002784240758046508,0.7360339760780334,-0.7332497353199869
305,oppofrende,0.003037102520465851,0.8258969187736511,-0.8228598162531853
306,organoleptisk,0.007669167593121529,0.8224097490310669,-0.8147405814379454
307,orknøysk,0.005454186350107193,0.7719641327857971,-0.7665099464356899
308,ortotropisk,0.004737560171633959,0.7797014713287354,-0.7749639111571014
309,oseanisk,0.0046695503406226635,0.7973496234044433,-0.7926800730638206
310,overdreven,0.003272364381700754,0.7364435195922852,-0.7331711552105844
311,overdådig,0.003867472754791379,0.782426118850708,-0.7785586460959166
312,overlegen,0.003969219047576189,0.7367094159126282,-0.732740196865052
313,palauisk,0.004331932868808508,0.8140272814780474,-0.8096953486092389
314,panamansk,0.005257195793092251,0.8514778017997742,-0.8462206060066819
315,panegyrisk,0.0054877642542123795,0.7879225611686707,-0.7824347969144583
316,papuansk,0.0042647202499210835,0.8702129125595093,-0.8659481923095882
317,paraguayansk,0.00585093442350626,0.8257626891136169,-0.8199117546901107
318,paranormal,0.00392107293009758,0.8003370598889887,-0.7964159869588912
319,parisk,0.0043142144568264484,0.8578044970054179,-0.8534902825485915
320,patagonsk,0.005127633921802044,0.8156995177268982,-0.8105718838050961
321,peloponnesisk,0.00464605912566185,0.9034618416335434,-0.8988157825078815
322,pen,0.004949010442942381,0.7077295780181885,-0.7027805675752461
323,peruansk,0.007018696516752243,0.7872165441513062,-0.7801978476345539
324,plagsom,0.0023121614940464497,0.8522958159446716,-0.8499836544506252
325,poetisk,0.003562874859198928,0.7039478574879467,-0.7003849826287478
326,polemisk,0.003940303809940815,0.7455393900163472,-0.7415990862064064
327,politisk,0.004542801063507795,0.758400022983551,-0.7538572219200432
328,politisk korrekt,0.002050803042948246,0.8087673007976264,-0.8067164977546781
329,portugisisk,0.005067967344075441,0.795398473739624,-0.7903305063955486
330,possessiv,0.009324287995696068,0.7079573050141335,-0.6986330170184374
331,pragmatisk,0.00405778968706727,0.7509080718737096,-0.7468502821866423
332,prektig,0.004588198848068714,0.8397394474595785,-0.8351512486115098
333,primitiv,0.005128365010023117,0.7950849533081055,-0.7899565882980824
334,profylaktisk,0.003315279958769679,0.761657178401947,-0.7583418984431773
335,puertorikansk,0.0037040691822767258,0.8108714818954468,-0.80716741271317
336,pyntelig,0.0034803778398782015,0.8095200657844543,-0.8060396879445761
337,pyreneisk,0.004416047595441341,0.8503854870796204,-0.845969439484179
338,pålitelig,0.0035986052826046944,0.7886439561843872,-0.7850453509017825
339,radig,0.0037725691217929125,0.8468568325042725,-0.8430842633824795
340,radikal,0.0038996285293251276,0.8071277141571045,-0.8032280856277794
341,raffinert,0.005018991883844137,0.7566254734992981,-0.751606481615454
342,rang,0.0052321720868349075,0.7784591913223267,-0.7732270192354918
343,rank,0.004073429852724075,0.8109385371208191,-0.806865107268095
344,rasjonal,0.007209264673292637,0.7826610831543803,-0.7754518184810877
345,rasjonell,0.004523731768131256,0.6944407820701599,-0.6899170503020287
346,raus,0.0033987208735197783,0.8043962365482002,-0.8009975156746805
347,regelmessig,0.004882204346358776,0.7579835653305054,-0.7531013609841466
348,religiøs,0.004649079404771328,0.7440189751796424,-0.7393698957748711
349,restriktiv,0.0041132704354822636,0.7765774130821228,-0.7724641426466405
350,rettferdig,0.004046876914799213,0.7669522913638502,-0.762905414449051
351,rettskaffen,0.0034379782155156136,0.7739214897155762,-0.7704835115000606
352,rik,0.0060813045129179955,0.7266197800636292,-0.7205384755507112
353,rikelig,0.005151670426130295,0.7720471620559692,-0.7668954916298389
354,riktig,0.0027089600916951895,0.8238239288330078,-0.8211149687413126
355,robust,0.0035536785144358873,0.7571268081665039,-0.753573129652068
356,rolig,0.002287138719111681,0.8095399141311646,-0.8072527754120529
357,romersk,0.0061399550177156925,0.8581385430879891,-0.8519985880702734
358,rusk,0.003514632349833846,0.8257753252983093,-0.8222606929484755
359,rwandisk,0.0046204980462789536,0.8441435098648071,-0.8395230118185282
360,råtten,0.004747997038066387,0.8259296417236328,-0.8211816446855664
361,samfunnsmessig,0.003658753354102373,0.7499947061296552,-0.7463359527755529
362,sannsynlig,0.005160527303814888,0.6665614247322083,-0.6614008974283934
363,sarkastisk,0.002658688696101308,0.6963443756103516,-0.6936856869142503
364,seig,0.0038156374357640743,0.817226767539978,-0.813411130104214
365,sekulær,0.0040329741314053535,0.7367409467697144,-0.732707972638309
366,selsom,0.00482358131557703,0.7102441191673279,-0.7054205378517509
367,serbokroatisk,0.005248872563242912,0.8798712491989136,-0.8746223766356707
368,sinober,0.005844807252287865,0.8720647692680359,-0.866219962015748
369,sjanselaus,0.0034931909758597612,0.7921379916369915,-0.7886448006611317
370,sjarmerende,0.0032492552418261766,0.7133533358573914,-0.7101040806155652
371,sjenerøs,0.004573311656713486,0.6351770758628845,-0.630603764206171
372,sjølstendig,0.007266298867762089,0.7459742426872253,-0.7387079438194633
373,skadelig,0.0026145705487579107,0.7940770983695984,-0.7914625278208405
374,skarp,0.0033329790458083153,0.8445149064064026,-0.8411819273605943
375,skeiv,0.004201829899102449,0.831787271425128,-0.8275854415260255
376,skjev,0.0035511141177266836,0.8310118552763015,-0.8274607411585748
377,skråsikker,0.0042448705062270164,0.8130003213882446,-0.8087554508820176
378,skånsom,0.002690801164135337,0.8241543173789978,-0.8214635162148625
379,slem,0.004875197075307369,0.7554360628128052,-0.7505608657374978
380,slibrig,0.0034426867496222258,0.772132396697998,-0.7686897099483758
381,sliten,0.00312371039763093,0.8187592029571533,-0.8156354925595224
382,snakkesalig,0.0027072231750935316,0.7892821431159973,-0.7865749199409038
383,snøgg,0.003922442905604839,0.8232876658439636,-0.8193652229383588
384,sociniansk,0.007287347223609686,0.8295945469290018,-0.8223071997053921
385,sofistikert,0.003897214774042368,0.7532933354377747,-0.7493961206637323
386,sort,0.003395678009837866,0.8049908876419067,-0.8015952096320689
387,spansk,0.006052560172975063,0.7666521072387695,-0.7605995470657945
388,spirituell,0.004660625942051411,0.7889601588249207,-0.7842995328828692
389,språklig,0.004306406248360872,0.6749805165454745,-0.6706741102971137
390,standhaftig,0.003107252065092325,0.7958162426948547,-0.7927089906297624
391,stillferdig,0.00242001935839653,0.8020468354225159,-0.7996268160641193
